일자,,,언론사,기고자,제목
20170317,유시민,19대대선,울산매일,노컷뉴스,"썰전 유시민 ""박근혜, 분하고 억울해서 운 것"""
20170317,유시민,19대대선,부산일보,미디어본부14,"'썰전' 유시민, 헌재 탄핵 결정문 분석 ""문장 훌륭해, 고민 많았다는 증거"""
20170317,유시민,19대대선,한국경제,,"‘썰전’ 미공개 방송 포함, 유시민의 과거 탄핵 관련 예지력 화재"
20170317,유시민,19대대선,중도일보,연선우 기자,"[썰전] 유시민 “박근혜, 정치 계속할 것” 탄핵 후 대선구도 전망은?"
20170316,유시민,19대대선,서울신문,이슬기,"‘썰전’ 유시민 “헌재 탄핵 결정문, 매우 훌륭해 비문 없어”"
20170316,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민 ""헌재 탄핵 결정문, 문장 훌륭해 비문 없고 논리적"""
20170316,유시민,19대대선,부산일보,미디어본부16,"'썰전' 유시민 ""박근혜 전 대통령 정치 계속한다"" ""자유한국당 안에 '친박당' 있다"""
20170316,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민, 탄핵심판 선고일부터 전원일치 인용 예언까지 '적중'"
20170316,유시민,19대대선,매일경제,매일경제 스타투데이 이슈팀,"`썰전` 유시민, `유스트라무스` 등극한 이유는? ""탄핵심판 선고일-전원일치 예언 적중"""
20170316,유시민,19대대선,국민일보,정지용 기자,"3당 '개헌 합의' 반발 확산 SNS 시끌, 유시민도 소환 (영상)"
20170316,유시민,19대대선,중앙일보,한영혜,"유시민, 예언 ‘적중’ 보고 있나? 전스트라다무스!"
20170316,유시민,19대대선,서울경제,한해선 기자,"'썰전' 유시민, 탄핵심판 예상 적중..'유스트라다무스' 등극?"
20170313,유시민,19대대선,중앙일보,홍수민,"유시민 ""대학 신입생 사발주 문화는 '미시 파시즘'"""
20170313,유시민,19대대선,서울경제,한해선 기자,"‘차이나는 클라스’ 딘딘, 거침없는 '질문봇' 등극..유시민도 '깜짝'"
20170313,유시민,19대대선,매일경제,진주희,"""윤전추, 탄핵심판 2차변론 거짓말 하러 나왔다"" `썰전` 유시민 전원책 일침 재조명"
20170311,유시민,19대대선,머니투데이,이재은,"청와대 입장 발표 없어...유시민 ""받아들이지 못하는 것"""
20170311,유시민,19대대선,중앙일보,한영혜,유시민 “헌법이 주먹 쥐고 나온다. 나 억울하다고”
20170311,유시민,19대대선,아시아경제,송윤정,"박근혜 파면, 유시민 ""박근혜 내면으로 못 받아 들이고 있다"""
20170311,유시민,19대대선,한국경제,,"'JTBC 특집토론' 유시민 작가 ""박근혜, 파면 결정 받아들이지 못하는 상황"""
20170311,유시민,19대대선,세계일보,여창용,중국 사드보복 피해 썰전 유시민의 예측
20170311,유시민,19대대선,한국경제,,유시민 “박근혜 입장 발표 無? 헌재 판단 안 받아들이는 것”
20170311,유시민,19대대선,부산일보,미디어본부13,"'특집토론' 유시민 ""박근혜, 헌재 판단 내면으로 못 받아 들여"""
20170311,유시민,19대대선,서울경제,전종선 기자,유시민 “박근혜 입장 발표 없어 헌재 판단 못 받아 들이는 것”
20170310,유시민,19대대선,서울신문,김서연,"유시민, 개헌론에 “헌법 잘못? 헌법이 주먹 쥐고 나올 것”"
20170310,유시민,19대대선,서울경제,전종선 기자,‘특집토론’ 유시민 “박근혜 탄핵 안 받아들여 상식 밖 행동할 수도”
20170310,유시민,19대대선,경인일보,이상은 인턴기자,"유시민 ""박근혜, 탄핵 못 받아들이고 있는 듯 상식 밖 행동할 수도"""
20170310,유시민,19대대선,전자신문,이희진 기자,"JTBC 특집토론 유시민 “박근혜, 탄핵 인용 내면으로 못 받아드리고 있는 것 같아”"
20170310,유시민,19대대선,경인일보,이상은 인턴기자,JTBC 탄핵 특집토론 편성 유시민 정두언 정태옥 박주민 출연
20170310,유시민,19대대선,중부일보,홍지예,"'특집토론' 유시민 ""박근혜 전 대통령 헌재 판단 안 받아 들이고 있다, 내면으로 """
20170310,유시민,19대대선,서울경제,한해선 기자,"‘차이나는 클라스’ 딘딘, 날카로운 질문으로 유시민 사로잡다?"
20170310,유시민,19대대선,부산일보,미디어본부16,"JTBC, 오늘(10일) 밤 9시 '탄핵 특집 토론' 유시민x정두언x정태옥x박주민"
20170310,유시민,19대대선,울산매일,노컷뉴스,"'썰전' 유시민 ""새누리당 당명 확보는 탄핵인용 대비한 것"""
20170310,유시민,19대대선,아시아경제,피혜림,"'썰전' 유시민 전원책, 자유한국당 대선주자 황교안 홍준표에 ‘글쎄’"
20170310,유시민,19대대선,서울경제,한해선 기자,"JTBC ‘특집 토론’ 유시민-정두언-정태옥-박주민 출연, '탄핵심판 後 대한민국, 어디로 갈까?'"
20170310,유시민,19대대선,헤럴드경제,김수한 기자,"‘썰전’ 심상정, 유시민“미모의 후배 낚아채” 과거 폭로"
20170310,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 심상정, 배우 김고은 닮은 꼴? 유시민 ""2초만"" 단호"
